"OldRel","NewRel","Folder","Title","Date","Tags","URLCount","Checkboxes"
"README.md","30_分析メモ/###   プロジェクト・アークとは.md","30_分析メモ","###   プロジェクト・アークとは","","","0","0"
"世界経済ストレス総点検DR依頼.md","10_背景調査/ワルプルギス（9 30ターム）：世界経済ストレス総点検 —.md","10_背景調査","ワルプルギス（9 30ターム）：世界経済ストレス総点検 —","","","0","0"
"世界考察まとめ-20250817.md","20_資料/実務手続き（Who What How When）.md","20_資料","実務手続き（Who What How When）","","GPT5 OpenAI BugReport AItransparency SystemIntegrity EmergencyBulletin 001 ワルプルギス Ukraine Energy DollarFunding JU構想 Walpurgis JU Ark Liquidity SupplyChains ICC RomeStatute WarCrimes CeasefireNotAmnesty AlaskaMeeting RuleBasedOrder InternationalJustice Fiat FinancialReconstruction アラスカ会談 南コーカサス 核抑止 国際法 プーチン トランプ 兆候 対策 想定 JICAJAAPのハッシュタグで投稿を共有するよう促していますが 1 2 5 3 6 4 7 AI失業 VoV 生存権 dev構造 構造記録 WaterIsLife HumanitarianAid Donetsk DNR Belarus ICRC RightToWater GenevaConventions ResponsibilityToProtect SilentAtrocity TranscendingHumanity KAIRO_P Paddress GuardianMode SaveTheWorld RiggedJobs RiggedBLS FiringTheMessenger USDebtCrisis AIEmploymentShock MessageToBessent ObsidianDocs SystemicRisk MakeAmericaSaneAgain","1575","0"
"世界考察情報.md","30_分析メモ/UTSM-1 Proj=世界考察; Arch=JU PSM.md","30_分析メモ","UTSM-1 Proj=世界考察; Arch=JU PSM","","","0","0"
"戦略フレーム更新：JU構想から実務的危機対応への移行.md","30_分析メモ/戦略フレーム更新：JU構想から実務的危機対応への移行.md","30_分析メモ","戦略フレーム更新：JU構想から実務的危機対応への移行","","","0","0"
"米国財務省調査レポート依頼.md","10_背景調査/## 序論.md","10_背景調査","## 序論","","","0","0"
"調査資料/アメリカ調査20250813.md","20_資料/要旨（ショート版）.md","20_資料","要旨（ショート版）","","","155","0"
"調査資料/こども家庭庁予算の透明性検証.md","10_背景調査/こども家庭庁：国家主導イデオロギー・ネットワークの解剖.md","10_背景調査","こども家庭庁：国家主導イデオロギー・ネットワークの解剖","","","0","0"
"調査資料/ネタニヤフ発狂考察.md","20_資料/何が起きたか（確定情報）.md","20_資料","何が起きたか（確定情報）","","","65","0"
"調査資料/ミャンマー核奪取阻止.md","30_分析メモ/戦略評価：中国共産党崩壊シナリオにおける核セキュリティと「パ.md","30_分析メモ","戦略評価：中国共産党崩壊シナリオにおける核セキュリティと「パ","","","0","0"
"調査資料/ワルプルギス仮説検証と早期パス探索.md","10_背景調査/DR-JPN-TERM-GAMMA  ワルプルギス臨界仮説の.md","10_背景調査","DR-JPN-TERM-GAMMA  ワルプルギス臨界仮説の","","","0","0"
"調査資料/財務省という国家そのもの：思想統制と利益共同体としての「解体不能」構造.md","10_背景調査/財務省という国家そのもの：思想統制と利益共同体としての「解体.md","10_背景調査","財務省という国家そのもの：思想統制と利益共同体としての「解体","","","0","0"
"調査資料/財務省起点 公費搾取システム調査.md","10_背景調査/金色の王冠：日本の制度的公費搾取システムと監査不能構造の解明.md","10_背景調査","金色の王冠：日本の制度的公費搾取システムと監査不能構造の解明","","f9f 333 ccf 9cf c99 f8c","1","0"
"調査資料/世界経済ストレステスト分析と米国債務.md","10_背景調査/世界ストレステスト1.2（JST 2025 08 27）：ソ.md","10_背景調査","世界ストレステスト1.2（JST 2025 08 27）：ソ","","","1","0"
"調査資料/台湾技術流出事件：総合分析.md","10_背景調査/シリコンシールドの侵害：TSMC 2nm技術流出事件の地政学.md","10_背景調査","シリコンシールドの侵害：TSMC 2nm技術流出事件の地政学","","","0","0"
"調査資料/大統領令と国際合意の法的検証.md","10_背景調査/8月7日の大統領令：一方的関税措置、国際法的有効性、及びドル.md","10_背景調査","8月7日の大統領令：一方的関税措置、国際法的有効性、及びドル","","","0","0"
"調査資料/中国の乖離とワルプルギス連動評価.md","10_背景調査/プロジェクト・ワルプルギス：中国における「表面」と「実態」の.md","10_背景調査","プロジェクト・ワルプルギス：中国における「表面」と「実態」の","","","1","0"
"調査資料/日本の惨状把握とArk戦略.md","10_背景調査/日本の体系的脆弱性に関する評価：Ark戦略のためのエビデンス.md","10_背景調査","日本の体系的脆弱性に関する評価：Ark戦略のためのエビデンス","","","0","0"
"調査資料/米国外交・国内情勢分析（大イスラエル前）.md","10_背景調査/2025年のアメリカ：多極化世界における取引主義的権力の肖像.md","10_背景調査","2025年のアメリカ：多極化世界における取引主義的権力の肖像","","","0","0"
"絶望の日/【最終版・運用規程】ワルプルギス危機予測と即応スタンバイ体制.md","10_背景調査/【最終版・運用規程】9 30危機予測と即応スタンバイ体制.md","10_背景調査","【最終版・運用規程】9 30危機予測と即応スタンバイ体制","","","0","0"
"絶望の日/Geminiログ（クルーグマンへのツイートまで）.md","20_資料/この話の理解者は、ポール・クルーグマンしか居ない。.md","20_資料","この話の理解者は、ポール・クルーグマンしか居ない。","","","10","0"
"絶望の日/Gemini傲慢.md","10_背景調査/読み込んで説明し、切り分けをお願いします。.md","10_背景調査","読み込んで説明し、切り分けをお願いします。","","","0","0"
"絶望の日/Metaの生存戦略、脆弱性、そして「絶望の日」.md","30_分析メモ/###   戦略的考察：Metaの生存戦略、脆弱性、そして「.md","30_分析メモ","###   戦略的考察：Metaの生存戦略、脆弱性、そして「","","","0","0"
"絶望の日/To Prof. paul-krugman.md","30_分析メモ/@paulkrugman.md","30_分析メモ","@paulkrugman","","","0","0"
