"OldRel","NewRel","Folder","Title","Date"
"README.md","30_分析メモ/###   プロジェクト・アークとは.md","30_分析メモ","###   プロジェクト・アークとは",""
"世界経済ストレス総点検DR依頼.md","10_背景調査/ワルプルギス（9 30ターム）：世界経済ストレス総点検 —.md","10_背景調査","ワルプルギス（9 30ターム）：世界経済ストレス総点検 —",""
"世界考察まとめ-20250817.md","20_資料/実務手続き（Who What How When）.md","20_資料","実務手続き（Who What How When）",""
"世界考察情報.md","30_分析メモ/UTSM-1 Proj=世界考察; Arch=JU PSM.md","30_分析メモ","UTSM-1 Proj=世界考察; Arch=JU PSM",""
"戦略フレーム更新：JU構想から実務的危機対応への移行.md","30_分析メモ/戦略フレーム更新：JU構想から実務的危機対応への移行.md","30_分析メモ","戦略フレーム更新：JU構想から実務的危機対応への移行",""
"米国財務省調査レポート依頼.md","10_背景調査/## 序論.md","10_背景調査","## 序論",""
"調査資料/アメリカ調査20250813.md","20_資料/要旨（ショート版）.md","20_資料","要旨（ショート版）",""
"調査資料/こども家庭庁予算の透明性検証.md","10_背景調査/こども家庭庁：国家主導イデオロギー・ネットワークの解剖.md","10_背景調査","こども家庭庁：国家主導イデオロギー・ネットワークの解剖",""
"調査資料/ネタニヤフ発狂考察.md","20_資料/何が起きたか（確定情報）.md","20_資料","何が起きたか（確定情報）",""
"調査資料/ミャンマー核奪取阻止.md","30_分析メモ/戦略評価：中国共産党崩壊シナリオにおける核セキュリティと「パ.md","30_分析メモ","戦略評価：中国共産党崩壊シナリオにおける核セキュリティと「パ",""
"調査資料/ワルプルギス仮説検証と早期パス探索.md","10_背景調査/DR-JPN-TERM-GAMMA  ワルプルギス臨界仮説の.md","10_背景調査","DR-JPN-TERM-GAMMA  ワルプルギス臨界仮説の",""
"調査資料/財務省という国家そのもの：思想統制と利益共同体としての「解体不能」構造.md","10_背景調査/財務省という国家そのもの：思想統制と利益共同体としての「解体.md","10_背景調査","財務省という国家そのもの：思想統制と利益共同体としての「解体",""
"調査資料/財務省起点 公費搾取システム調査.md","10_背景調査/金色の王冠：日本の制度的公費搾取システムと監査不能構造の解明.md","10_背景調査","金色の王冠：日本の制度的公費搾取システムと監査不能構造の解明",""
"調査資料/世界経済ストレステスト分析と米国債務.md","10_背景調査/世界ストレステスト1.2（JST 2025 08 27）：ソ.md","10_背景調査","世界ストレステスト1.2（JST 2025 08 27）：ソ",""
"調査資料/台湾技術流出事件：総合分析.md","10_背景調査/シリコンシールドの侵害：TSMC 2nm技術流出事件の地政学.md","10_背景調査","シリコンシールドの侵害：TSMC 2nm技術流出事件の地政学",""
"調査資料/大統領令と国際合意の法的検証.md","10_背景調査/8月7日の大統領令：一方的関税措置、国際法的有効性、及びドル.md","10_背景調査","8月7日の大統領令：一方的関税措置、国際法的有効性、及びドル",""
"調査資料/中国の乖離とワルプルギス連動評価.md","10_背景調査/プロジェクト・ワルプルギス：中国における「表面」と「実態」の.md","10_背景調査","プロジェクト・ワルプルギス：中国における「表面」と「実態」の",""
"調査資料/日本の惨状把握とArk戦略.md","10_背景調査/日本の体系的脆弱性に関する評価：Ark戦略のためのエビデンス.md","10_背景調査","日本の体系的脆弱性に関する評価：Ark戦略のためのエビデンス",""
"調査資料/米国外交・国内情勢分析（大イスラエル前）.md","10_背景調査/2025年のアメリカ：多極化世界における取引主義的権力の肖像.md","10_背景調査","2025年のアメリカ：多極化世界における取引主義的権力の肖像",""
"絶望の日/【最終版・運用規程】ワルプルギス危機予測と即応スタンバイ体制.md","10_背景調査/【最終版・運用規程】9 30危機予測と即応スタンバイ体制.md","10_背景調査","【最終版・運用規程】9 30危機予測と即応スタンバイ体制",""
"絶望の日/Geminiログ（クルーグマンへのツイートまで）.md","20_資料/この話の理解者は、ポール・クルーグマンしか居ない。.md","20_資料","この話の理解者は、ポール・クルーグマンしか居ない。",""
"絶望の日/Gemini傲慢.md","10_背景調査/読み込んで説明し、切り分けをお願いします。.md","10_背景調査","読み込んで説明し、切り分けをお願いします。",""
"絶望の日/Metaの生存戦略、脆弱性、そして「絶望の日」.md","30_分析メモ/###   戦略的考察：Metaの生存戦略、脆弱性、そして「.md","30_分析メモ","###   戦略的考察：Metaの生存戦略、脆弱性、そして「",""
"絶望の日/To Prof. paul-krugman.md","30_分析メモ/@paulkrugman.md","30_分析メモ","@paulkrugman",""
"絶望の日/世界経済リスク包括把握DR依頼.md","10_背景調査/9月の支点：米国中心のシステミック危機と通貨多様化への戦略的.md","10_背景調査","9月の支点：米国中心のシステミック危機と通貨多様化への戦略的",""
"絶望の日/絶望の日、その説明.md","30_分析メモ/承知いたしました。あなたは愚かではありません。むしろ、ほとん.md","30_分析メモ","承知いたしました。あなたは愚かではありません。むしろ、ほとん",""
"絶望の日/絶望の日、ハックルート.md","30_分析メモ/あなたの慧眼に敬意を表します。それは、この論理の終着点に見え.md","30_分析メモ","あなたの慧眼に敬意を表します。それは、この論理の終着点に見え",""
"絶望の日/文明延命コスト、その妥当性考察。.md","20_資料/文明の保険料：12兆ドルによる一時的延命措置と、その長期的負.md","20_資料","文明の保険料：12兆ドルによる一時的延命措置と、その長期的負",""
"打った手/MIT向けメール.md","30_分析メモ/.md","30_分析メモ","",""
"打った手/NYT向けツイート案.md","30_分析メモ/### Japan’s Collapse Is Not Ja.md","30_分析メモ","### Japan’s Collapse Is Not Ja",""
"打った手/クルーグマン宛ツイート.md","20_資料/To the esteemed Professor Paul.md","20_資料","To the esteemed Professor Paul",""
"打った手/固定ツイート.md","30_分析メモ/9 30は「米国経済のXデー」.md","30_分析メモ","9 30は「米国経済のXデー」",""
"打った手/高市議員宛ツイート.md","30_分析メモ/高市早苗議員殿.md","30_分析メモ","高市早苗議員殿",""
"Project Ark/プロジェクト・アーク実行計画策定依頼.md","10_背景調査/プロジェクト・アークP0起動パッケージ：要員、プロトコル、お.md","10_背景調査","プロジェクト・アークP0起動パッケージ：要員、プロトコル、お",""
"各種ログ/ログ-Gemini Part1.md","20_資料/ログがそこまで進んでいないのに、何故かプロンプト対象ミスが頻.md","20_資料","ログがそこまで進んでいないのに、何故かプロンプト対象ミスが頻",""
"各種ログ/ログ-Gemini Part2.md","20_資料/先行者完走です。後任に着任下さい。.md","20_資料","先行者完走です。後任に着任下さい。",""
"各種ログ/ログ-GPT（大イスラエルE1承認後初動）.md","20_資料/承継設定（固定）.md","20_資料","承継設定（固定）",""
"各種ログ/ログ-GPT（大イスラエルE1発動前）.md","20_資料/いまの現地時刻と“残り”.md","20_資料","いまの現地時刻と“残り”",""
"各種ログ/ワルプルギスは来ない→嘘でした.md","20_資料/9 30に向けて「詰まり」を招く条件と分岐.md","20_資料","9 30に向けて「詰まり」を招く条件と分岐",""
"Ark=R/フィアット連合/Arkマクロ経済学/第8章・第9章 JG・UBIとインフレ制御（v1.2）.md","30_分析メモ/## 第8章　就業保証プログラム（JG）：社会という船体の防.md","30_分析メモ","## 第8章　就業保証プログラム（JG）：社会という船体の防",""
"Ark=R/フィアット連合/Arkマクロ経済学/第8章・第9章 JG・UBIとインフレ制御（v1）.md","30_分析メモ/## 第8章　就業保証プログラム（JG）：社会という船体の防 (2).md","30_分析メモ","## 第8章　就業保証プログラム（JG）：社会という船体の防",""
"00_ARCHIVE/JU_Concept/20250904_JU_Concept_Activation_CrisisAssessment.md","10_背景調査/JU構想発動判断に関する現状評価報告書（2025年8月13日.md","10_背景調査","JU構想発動判断に関する現状評価報告書（2025年8月13日",""
"00_ARCHIVE/JU_Concept/20250904_JU_Concept_GPT_PriorKnowledge.md","30_分析メモ/0. 地図（この説明に折り込んだ要素）.md","30_分析メモ","0. 地図（この説明に折り込んだ要素）",""
"00_ARCHIVE/JU_Concept/20250904_JU_Concept_Log_000.md","20_資料/https   gigazine.net news 2025.md","20_資料","https   gigazine.net news 2025",""
"00_ARCHIVE/JU_Concept/20250904_JU_Concept_Log_001.md","20_資料/AIレイオフ壊れました。 以下URLを分析下さい。 http.md","20_資料","AIレイオフ壊れました。 以下URLを分析下さい。 http",""
"00_ARCHIVE/JU_Concept/20250904_JU_Concept_RoadmapToStart_log.md","20_資料/とりあえず、添付ファイルを読み、前提状況を把握して下さい。.md","20_資料","とりあえず、添付ファイルを読み、前提状況を把握して下さい。",""
"00_ARCHIVE/JU_Concept/20250904_JU_Concept_RupeeSwap.md","30_分析メモ/戦略報告書：9月30日危機シナリオにおける「ルピー・スワップ.md","30_分析メモ","戦略報告書：9月30日危機シナリオにおける「ルピー・スワップ",""
"00_ARCHIVE/JU_Concept/20250904_JU_Concept_WalpurgisCrisisResponse.md","10_背景調査/JU構想：極限同盟によるポスト危機秩序の構築.md","10_背景調査","JU構想：極限同盟によるポスト危機秩序の構築",""
"00_ARCHIVE/JU_Concept/20250904_JU_Concept_Whitepaper_GPT.md","30_分析メモ/## JU構想白書 Ver.0.1.md","30_分析メモ","## JU構想白書 Ver.0.1",""
